pos1,pos2,pos3,pos4,pos5,pos6,shape1,shape2,shape3,shape4,shape5,shape6,singleton,target_color,target_orientation,cue_validity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,search_response.keys,search_response.corr,search_response.rt,key_block.keys,key_block.rt,end_key.keys,end_key.rt,participant,session,distractor_prevalence,validity,date,expName,psychopyVersion,frameRate,
0,2,1,5,3,4,4,5,3,0,5,6,1,1,0,1,0,0,0,0,left,1,2.7537336999994295,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
0,4,3,2,1,5,4,3,6,0,0,6,1,1,0,1,0,1,1,1,left,1,4.400327399998787,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
4,0,5,2,3,1,4,5,6,0,3,3,1,1,1,1,0,2,2,2,up,1,1.8814176000014413,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
1,4,2,0,5,3,4,3,5,0,0,3,1,1,1,1,0,3,3,3,up,1,1.4741093999982695,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
5,3,0,1,2,4,4,0,3,5,6,3,1,1,0,1,0,4,4,4,left,1,2.168038700001489,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
1,3,0,2,4,5,4,3,5,0,3,5,1,1,1,1,0,5,5,5,up,1,1.7878416999992623,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
0,2,4,5,1,3,4,6,3,3,6,5,1,1,1,1,0,6,6,6,left,0,1.0609072000006563,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
2,1,0,3,5,4,4,3,6,0,3,0,1,1,1,1,0,7,7,7,up,1,2.0967846999992616,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
3,0,2,5,4,1,4,6,5,5,3,3,1,1,0,1,0,8,8,8,left,1,1.7964759999995294,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
5,1,2,4,0,3,4,0,5,6,0,3,1,1,1,1,0,9,9,9,up,1,1.276440300000104,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
4,2,3,1,5,0,4,6,3,6,3,5,1,0,1,1,0,10,10,10,up,1,1.5587670999993861,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
5,2,0,1,4,3,4,3,5,6,5,0,1,0,1,1,0,11,11,11,up,1,1.5592813999974169,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
4,1,5,3,0,2,4,3,6,5,0,5,1,0,1,1,0,12,12,12,up,1,1.3553327999979956,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
5,2,1,4,0,3,4,0,6,5,3,6,1,0,1,1,0,13,13,13,up,1,1.170726399999694,None,,,,pil_004,001,0.9,1.0,2023-03-24_17h13.02.887,stress,2023.1.0,60.01990259971459,
